1,1,7.563495,-0.093743,0.014078
2,1,15.451366,0.195651,0.085199
3,1,18.798657,0.334050,-0.024021
4,1,22.818468,0.154352,-0.093237
5,1,24.913443,0.032413,-0.012008
6,1,27.459758,-0.044260,-0.189071
7,1,28.280545,-0.340607,-0.522488
8,1,29.202917,-1.117721,-0.899894
9,1,29.819761,-2.289564,-1.284527
10,1,29.949206,-3.457994,-1.732365
11,1,29.729588,-4.203036,-1.961483
13,1,29.224288,-5.163270,-2.085269
14,1,28.733831,-5.815211,-2.289366
15,1,27.865058,-6.421381,-2.796888
16,1,26.600573,-6.581853,-3.254752
17,1,25.374036,-6.152033,-3.668513
18,1,24.775043,-5.788649,-3.828086
19,1,24.099214,-4.832337,-4.172917
20,1,23.423644,-3.526441,-4.251369
21,1,22.842529,-2.366213,-4.232377
22,1,22.270267,-1.208875,-4.270630
23,1,22.112889,-0.877829,-4.275066
24,1,20.974008,-0.232378,-3.356218
25,1,19.814917,-0.142744,-3.055583
26,1,14.871196,-0.283871,-3.095523
27,1,9.822444,-0.552351,-3.071779
28,1,6.838943,-0.702301,-3.062103
29,1,3.637457,-0.803843,-3.127406
30,1,0.821899,-0.909558,-3.066590
31,1,-0.284574,-0.958758,-3.099714
32,1,-1.046795,2.290020,-4.676698
